,0,1,2,3
0,Albania,2020-05-12,881.0,"[[ 8.]
 [ 8.]
 [10.]
 [11.]
 [12.]
 [13.]
 [14.]]"
1,Andorra,2020-05-12,765.0,"[[1.]
 [1.]
 [2.]
 [2.]
 [2.]
 [2.]
 [2.]]"
2,Armenia,2020-05-12,3306.0,"[[ 90.]
 [102.]
 [133.]
 [ 55.]
 [170.]
 [100.]
 [145.]]"
3,Austria,2020-05-12,16045.0,"[[41.]
 [48.]
 [53.]
 [62.]
 [66.]
 [74.]
 [76.]]"
4,Azerbaijan,2020-05-12,2326.0,"[[43.]
 [41.]
 [53.]
 [48.]
 [44.]
 [55.]
 [54.]]"
5,Belarus,2020-05-12,23408.0,"[[849.]
 [877.]
 [831.]
 [829.]
 [870.]
 [835.]
 [825.]]"
6,Belgium,2020-05-12,52833.0,"[[371.]
 [373.]
 [364.]
 [366.]
 [365.]
 [362.]
 [361.]]"
7,Bosnia_and_Herzegovina,2020-05-12,2221.0,"[[40.]
 [61.]
 [43.]
 [49.]
 [41.]
 [28.]
 [32.]]"
8,Bulgaria,2020-05-12,1841.0,"[[39.]
 [29.]
 [29.]
 [25.]
 [23.]
 [22.]
 [20.]]"
9,Croatia,2020-05-12,2184.0,"[[ 6.]
 [ 6.]
 [ 8.]
 [10.]
 [12.]
 [16.]
 [21.]]"
10,Cyprus,2020-05-12,911.0,"[[9.]
 [5.]
 [4.]
 [6.]
 [3.]
 [3.]
 [3.]]"
11,Czechia,2020-05-12,8372.0,"[[52.]
 [67.]
 [77.]
 [81.]
 [87.]
 [93.]
 [93.]]"
12,Denmark,2020-05-12,10796.0,"[[159.]
 [150.]
 [167.]
 [146.]
 [174.]
 [149.]
 [178.]]"
13,Estonia,2020-05-12,1849.0,"[[ 4.]
 [ 7.]
 [12.]
 [19.]
 [26.]
 [34.]
 [41.]]"
14,Faroe_Islands,2020-05-12,187.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
15,Finland,2020-05-12,6067.0,"[[ 78.]
 [120.]
 [102.]
 [120.]
 [112.]
 [ 99.]
 [106.]]"
16,France,2020-05-12,135549.0,"[[675.]
 [497.]
 [535.]
 [533.]
 [489.]
 [484.]
 [470.]]"
17,Georgia,2020-05-12,672.0,"[[ 4.]
 [ 8.]
 [ 8.]
 [10.]
 [13.]
 [15.]
 [17.]]"
18,Germany,2020-05-12,169077.0,"[[738.]
 [717.]
 [732.]
 [746.]
 [750.]
 [761.]
 [771.]]"
19,Gibraltar,2020-05-12,152.0,"[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
20,Greece,2020-05-12,2898.0,"[[37.]
 [24.]
 [28.]
 [36.]
 [41.]
 [46.]
 [51.]]"
21,Guernsey,2020-05-12,259.0,"[[0.]
 [0.]
 [0.]
 [1.]
 [1.]
 [1.]
 [1.]]"
22,Holy_See,2020-05-12,12.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
23,Hungary,2020-05-12,3449.0,"[[36.]
 [41.]
 [44.]
 [53.]
 [58.]
 [67.]
 [82.]]"
24,Iceland,2020-05-12,1800.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
25,Ireland,2020-05-12,24102.0,"[[314.]
 [271.]
 [315.]
 [358.]
 [373.]
 [405.]
 [340.]]"
26,Isle_of_Man,2020-05-12,418.0,"[[ 5.]
 [ 4.]
 [ 9.]
 [11.]
 [15.]
 [24.]
 [23.]]"
27,Italy,2020-05-12,221685.0,"[[1393.]
 [1360.]
 [1356.]
 [1395.]
 [1398.]
 [1412.]
 [1430.]]"
28,Jersey,2020-05-12,317.0,"[[6.]
 [1.]
 [1.]
 [6.]
 [1.]
 [1.]
 [5.]]"
29,Kosovo,2020-05-12,955.0,"[[15.]
 [16.]
 [12.]
 [13.]
 [14.]
 [13.]
 [13.]]"
30,Latvia,2020-05-12,982.0,"[[ 6.]
 [ 8.]
 [20.]
 [ 9.]
 [ 9.]
 [22.]
 [ 9.]]"
31,Liechtenstein,2020-05-12,88.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [1.]
 [1.]]"
32,Lithuania,2020-05-12,1657.0,"[[10.]
 [12.]
 [-7.]
 [26.]
 [53.]
 [87.]
 [55.]]"
33,Luxembourg,2020-05-12,4013.0,"[[21.]
 [29.]
 [34.]
 [ 9.]
 [47.]
 [14.]
 [27.]]"
34,Malta,2020-05-12,544.0,"[[ 5.]
 [ 6.]
 [ 8.]
 [ 9.]
 [10.]
 [11.]
 [11.]]"
35,Moldova,2020-05-12,5039.0,"[[118.]
 [128.]
 [ 99.]
 [ 96.]
 [100.]
 [121.]
 [127.]]"
36,Monaco,2020-05-12,96.0,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]"
37,Montenegro,2020-05-12,340.0,"[[1.]
 [1.]
 [2.]
 [2.]
 [2.]
 [3.]
 [4.]]"
38,Netherlands,2020-05-12,42567.0,"[[201.]
 [245.]
 [253.]
 [272.]
 [283.]
 [283.]
 [258.]]"
39,North_Macedonia,2020-05-12,1637.0,"[[15.]
 [10.]
 [12.]
 [20.]
 [15.]
 [18.]
 [25.]]"
40,Norway,2020-05-12,8382.0,"[[ 24.]
 [ 49.]
 [ 81.]
 [114.]
 [ 83.]
 [ 95.]
 [ 87.]]"
41,Poland,2020-05-12,16244.0,"[[309.]
 [316.]
 [318.]
 [320.]
 [322.]
 [324.]
 [326.]]"
42,Portugal,2020-05-12,27645.0,"[[124.]
 [425.]
 [ 93.]
 [304.]
 [380.]
 [403.]
 [387.]]"
43,Romania,2020-05-12,15381.0,"[[266.]
 [293.]
 [254.]
 [280.]
 [248.]
 [278.]
 [247.]]"
44,Russia,2020-05-12,255706.0,"[[12170.]
 [13193.]
 [14139.]
 [15579.]
 [16921.]
 [18376.]
 [20058.]]"
45,San_Marino,2020-05-12,619.0,"[[1.]
 [2.]
 [2.]
 [5.]
 [7.]
 [9.]
 [8.]]"
46,Serbia,2020-05-12,10948.0,"[[164.]
 [156.]
 [189.]
 [200.]
 [217.]
 [226.]
 [237.]]"
47,Slovakia,2020-05-12,1451.0,"[[3.]
 [3.]
 [5.]
 [4.]
 [5.]
 [7.]
 [8.]]"
48,Slovenia,2020-05-12,1460.0,"[[1.]
 [1.]
 [2.]
 [2.]
 [3.]
 [4.]
 [5.]]"
49,Spain,2020-05-12,222647.0,"[[834.]
 [676.]
 [641.]
 [667.]
 [623.]
 [602.]
 [590.]]"
50,Sweden,2020-05-12,24651.0,"[[165.]
 [326.]
 [228.]
 [297.]
 [308.]
 [301.]
 [302.]]"
51,Switzerland,2020-05-12,30924.0,"[[ 93.]
 [123.]
 [159.]
 [162.]
 [159.]
 [162.]
 [164.]]"
52,Ukraine,2020-05-12,15645.0,"[[153.]
 [775.]
 [351.]
 [355.]
 [570.]
 [496.]
 [611.]]"
53,United_Kingdom,2020-05-12,217936.0,"[[4166.]
 [4022.]
 [3945.]
 [3905.]
 [3831.]
 [3769.]
 [3710.]]"
